2-digit SIC 2007,2016,2017,2018,2019,2020,2021,2022
01,0,1079000000,1103000000,1101000000,1030000000,1307000000,1626000000
02,0,0,0,19000000,0,0,0
03,0,4000000,14000000,65000000,0,227000000,405000000
05,0,0,0,0,0,0,0
06,127000000,71000000,877000000,1189000000,548000000,1354000000,4183000000
07,0,0,0,0,0,0,0
08,192000000,288000000,508000000,608000000,467000000,651000000,1042000000
09,577000000,1844000000,1294000000,1916000000,769000000,682000000,846000000
10,11465000000,12837000000,12843000000,13122000000,12935000000,14444000000,18880000000
11,3056000000,3094000000,3612000000,2981000000,2774000000,2829000000,3401000000
12,178000000,223000000,836000000,302000000,1024000000,1475000000,898000000
13,1392000000,1587000000,1741000000,1719000000,1271000000,1960000000,2192000000
14,55000000,745000000,653000000,610000000,381000000,493000000,676000000
15,0,331000000,316000000,268000000,206000000,233000000,316000000
16,0,1089000000,1125000000,890000000,784000000,1336000000,1353000000
17,2520000000,2895000000,2991000000,3067000000,2734000000,3032000000,4014000000
18,88000000,707000000,700000000,997000000,635000000,703000000,595000000
19,10177000000,16508000000,21108000000,18557000000,10109000000,17604000000,32280000000
20,10809000000,12716000000,14387000000,14584000000,15538000000,17467000000,19781000000
21,6018000000,10552000000,6447000000,6454000000,10546000000,5350000000,8398000000
22,4626000000,5261000000,6025000000,5844000000,4874000000,5522000000,6512000000
23,1658000000,1635000000,2120000000,1895000000,1540000000,1683000000,2428000000
24,4425000000,6275000000,6096000000,5353000000,3753000000,5826000000,7068000000
25,4790000000,4539000000,4569000000,5098000000,4155000000,5268000000,6906000000
26,4478000000,5830000000,6086000000,5728000000,4635000000,5168000000,7601000000
27,3368000000,3286000000,3386000000,4150000000,3387000000,4448000000,5226000000
28,9196000000,10930000000,12900000000,11298000000,7917000000,9228000000,11519000000
29,27306000000,27988000000,24739000000,24209000000,20759000000,22153000000,21811000000
30,12740000000,15700000000,14791000000,18149000000,13383000000,13286000000,17941000000
31,28000000,821000000,842000000,945000000,646000000,833000000,1262000000
32,2966000000,3182000000,3426000000,4208000000,4420000000,5142000000,5956000000
33,9630000000,12336000000,11104000000,10007000000,6519000000,5938000000,8968000000
