Values_Volumes,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,YTD 2024
CHAPS values (mn),254489,284591,277229,268615,270400,298710,333661,330095,329671,361844,341171,394572,374237,346837,348723,334294,352597,343372
CHAPS volumes,135555,134665,138245,144353,148412,154006,165285,191788,192292,175346,189539,203538,210029,201604,203634,201107,212418,206717
CREST DvP values (mn),322118,293293,303717,274257,240480,220970,270129,314193,342119,382440,371679,374307,346299,334743,337437,372635,390913,381701
CREST DvP volumes,6859,7325,8388,9050,9391,10883,12063,12099,11760,12750,13154,13947,13040,12108,12183,12874,13312,13091
FPS net values (mn),188,502,586,606,663,677,775,900,1026,1082,1388,1649,1852,1855,1828,1827,1943,1885
Bacs net values(mn),3269,3190,3071,3122,3159,3193,3321,3686,3915,4508,4611,4748,5394,4917,4976,5210,5491,5349
Link net values (mn),216,235,249,271,294,315,324,318,299,213,210,226,242,221,231,215,255,235
Cheque imaging net values (mn),,,,,,,,,193,77,65,64,52,56,46,51,41,46
Visa Europe net values (mn),,,1144,1149,1425,1531,1776,2270,2363,2368,2481,2357,2345,2180,2232,2095,2273,2184
Mastercard values (mn),,,,,,,,,,,519,835,1477,1366,1409,1333,1491,1411
