time_period_value,RSI Internet Sales %
201901,19.3
201902,18.3
201903,18.9
201904,18.4
201905,18.8
201906,18.3
201907,18.7
201908,18.1
201909,18.1
201910,19.1
201911,21.6
201912,21.4
202001,20.2
202002,19.1
202003,22.1
202004,30.3
202005,32.8
202006,31.3
202007,28.3
202008,27.0
202009,26.7
202010,29.0
202011,37.2
202012,31.3
202101,37.8
202102,36.5
202103,34.4
202104,30.1
202105,28.5
202106,27.9
202107,28.0
202108,27.7
202109,28.3
202110,28.9
202111,32.8
202112,30.5
202201,30.1
202202,27.9
202203,26.3
202204,26.5
202205,25.7
202206,25.2
202207,24.9
202208,24.4
202209,25.2
202210,25.9
202211,29.9
202212,27.1
202301,27.3
202302,25.8
202303,26.1
202304,25.8
202305,25.7
202306,25.4
202307,26.3
202308,25.3
202309,25.9
202310,26.7
202311,31.3
202312,28.1
202401,27.3
202402,25.9
202403,25.8
202404,26.3
202405,26.6
202406,26.2
202407,26.9
202408,25.5
202409,27.1
202410,27.7
202411,30.3
202412,29.1
202501,26.9
202502,26.0
202503,26.8
202504,26.2
202505,26.1
202506,26.5
