date,debit cards,credit cards,debit value of purchases,debit of which inside the UK,credit of which purchases,debit volume of purchases,debit volume of which inside the UK,credit volume of which purchases
01/01/2019,98632,60469,49725,46428,14121,1452,1328,254626
01/02/2019,97398,61001,49802,46560,13018,1462,1340,243302
01/03/2019,97377,61333,49998,46799,14455,1473,1352,261505
01/04/2019,97455,61468,50227,47051,15379,1487,1367,286415
01/05/2019,97331,61699,50418,47249,15298,1503,1384,287330
01/06/2019,97239,61641,50566,47402,14189,1519,1400,268104
01/07/2019,98341,65595,54003,50421,16846,1609,1476,322379
01/08/2019,98226,65489,51908,48317,15343,1561,1429,298853
01/09/2019,98366,65720,51858,48552,15630,1553,1427,294429
01/10/2019,98316,64864,53252,49944,15625,1629,1495,297553
01/11/2019,98119,64847,51759,48599,15633,1613,1481,303768
01/12/2019,97849,64851,56984,53267,16837,1754,1603,339098
01/01/2020,97332,64650,51604,48679,15242,1489,1369,279944
01/02/2020,96561,65924,47888,45109,14135,1483,1367,271563
01/03/2020,96700,65048,51129,48483,12893,1457,1335,269085
01/04/2020,96049,64972,39984,37512,7765,964,840,161696
01/05/2020,95857,64871,44701,41630,8812,1152,1008,184779
01/06/2020,95414,64797,50124,46954,11259,1275,1133,225447
01/07/2020,96576,62467,62604,59120,12897,1549,1404,259850
01/08/2020,96518,62031,62099,58617,12795,1616,1472,272065
01/09/2020,96649,61977,62344,58936,13102,1667,1522,279667
01/10/2020,96224,61710,59241,55654,12925,1635,1479,272073
01/11/2020,95375,61699,57648,53513,13483,1528,1359,271873
01/12/2020,95035,60607,63220,58737,13760,1697,1512,290561
01/01/2021,97334,60404,48939,45147,9542,1251,1087,195106
01/02/2021,98577,60305,48269,44535,9901,1282,1127,200102
01/03/2021,99100,60314,57992,53755,12987,1564,1392,254190
01/04/2021,98859,60187,59532,55432,12703,1619,1460,256308
01/05/2021,99288,59415,59567,55399,13836,1746,1595,278705
01/06/2021,98471,59405,60496,56934,14847,1873,1736,306672
01/07/2021,98097,59280,60680,56968,14846,1875,1732,309772
01/08/2021,98180,59247,61645,57632,15684,1951,1799,332641
01/09/2021,98183,59335,59868,56031,15561,1882,1736,319810
01/10/2021,98053,59438,61069,57595,15374,1941,1812,316484
01/11/2021,97529,59382,63242,59913,17251,1987,1874,351975
01/12/2021,97649,59427,64455,61091,16094,2032,1912,348796
01/01/2022,97610,59880,57637,54549,14588,1736,1622,290321
01/02/2022,97567,59452,55054,52176,14446,1732,1626,282118
01/03/2022,98946,59299,64332,61088,17081,1988,1870,325431
01/04/2022,99931,59432,63187,59847,16370,1931,1811,318553
01/05/2022,100238,59401,64679,61208,18375,2082,1960,355054
01/06/2022,98469,59539,60954,57571,17613,1983,1864,340609
01/07/2022,98455,59564,63592,60057,17409,2068,1941,341443
01/08/2022,100967,59816,65388,61618,18598,2140,2008,375715
01/09/2022,101345,59930,62083,58755,17097,2005,1887,337080
01/10/2022,101169,60100,67147,63794,17700,2189,2069,353771
01/11/2022,100755,58381,67093,63828,18246,2155,2038,354463
01/12/2022,100891,58439,69333,65938,17427,2224,2100,355852
01/01/2023,100747,58635,65144,61988,17152,1958,1842,320174
01/02/2023,100313,58352,60630,57670,15907,1909,1800,303041
01/03/2023,100424,58475,70662,67405,18509,2146,2024,342860
01/04/2023,100996,58517,66506,63238,17030,2052,1928,324193
01/05/2023,101406,58287,67544,64237,19541,2222,2097,376608
01/06/2023,100829,58090,65453,62220,18834,2178,2057,364104
01/07/2023,100874,58142,68207,64604,18938,2230,2094,370166
01/08/2023,101075,58131,66405,62509,18759,2212,2065,373438
01/09/2023,101466,58188,69245,65800,17757,2143,2011,350671
01/10/2023,101813,58206,67611,64046,18690,2255,2118,373524
01/11/2023,101593,58258,66630,63075,19275,2232,2099,375273
01/12/2023,101485,58228,68833,65343,17809,2301,2164,367501
01/01/2024,101707,58462,64618,61236,18342,2056,1921,345528
01/02/2024,101983,58414,60874,57641,17083,2058,1927,327569
01/03/2024,102325,58582,66530,63144,18289,2200,2062,344010
01/04/2024,102397,58619,69128,65673,19236,2218,2081,372177
01/05/2024,102589,59653,67799,64351,19603,2308,2173,379688
01/06/2024,102915,58847,63969,60596,18181,2216,2079,354640
